,BROOKLYN,BRONX,QUEENS,MANHATTAN,STATEN ISLAND
2006,2508820,1361473,2255175,1611581,477377
2007,2528050,1373659,2270338,1620867,481613
2008,2556598,1391903,2293007,1634795,487407
2009,2567098,1397287,2306712,1629054,491730
2010,2504700,1385108,2230722,1585873,468730
2011,2532645,1392002,2247848,1601948,470467
2012,2565635,1408473,2272771,1619090,470728
2013,2592149,1418733,2296175,1626159,472621
2014,2621793,1438159,2321580,1636268,473279
2015,2636735,1455444,2339150,1644518,474558
2016,2629150,1455720,2333054,1643734,476015
2017,2648771,1471160,2358582,1664727,479458
2018,2582830,1432132,2278906,1628701,476179
2019,2559903,1418207,2253858,1628706,476143
2020,2727393,1466438,2395791,1687834,495522
2021,2641052,1424948,2331143,1576876,493494
